id,name,bedroom,bathroom,carpark,monthly_price,yearly_price,sqft,furnish_type,property_type,city,state,pet_friendly,latitude,longitude,listing_url
229219,"Forest Green Condominium, Kajang",3,2,1,1500,18000,950.0,PARTIAL,HIGHRISE,Semenyih,Selangor,False,3.0448778,101.7923511,https://speedhome.com/reels/forest-green-condominium-ejpmuwch
228115,KITA IMPIAN @ CYBERSOUTH,3,2,1,1500,18000,901.0,PARTIAL,HIGHRISE,Dengkil,Selangor,False,2.8785637497743592,101.64454082616803,https://speedhome.com/reels/kita-impian-cybersouth-llxmffgr
227102,"Residensi Adelia, Kajang",1,1,0,650,7800,1082.0,FULL,ROOM,Kajang,Selangor,False,2.9055442439106174,101.79893858169233,https://speedhome.com/reels/residensi-adelia-kajang-ecvpfkyg
226450,"Saville, Kajang",3,2,2,1600,19200,1004.0,NONE,HIGHRISE,Kajang,Selangor,False,2.972304757930933,101.78949319703285,https://speedhome.com/reels/saville-kajang-mhpheuns
224485,"O2 Residence, Seri Kembangan",2,2,2,2100,25200,1305.0,FULL,HIGHRISE,Seri Kembangan,Selangor,False,2.9895222214400743,101.65912200000555,https://speedhome.com/reels/o2-residence-seri-kembangan-fcqviilo
224367,CyberSquare Apex,1,1,1,1250,15000,450.0,FULL,HIGHRISE,Cyberjaya,Selangor,False,2.9195136877090033,101.65749372883546,https://speedhome.com/reels/cybersquare-apex-olkkolie
219703,Sky Park @ Cyberjaya,5,1,0,3880,46560,740.0,FULL,HIGHRISE,Cyberjaya,Selangor,False,2.9492916114784973,101.65502012269361,https://speedhome.com/reels/sky-park-cyberjaya-deoftgbp
217317,Cloudtree Residence Luxury Condominium,5,3,2,2500,30000,1545.0,FULL,HIGHRISE,Kajang,Selangor,False,3.0433471,101.7323188,https://speedhome.com/reels/cloudtree-residence-luxury-condominium-gsefawsu
214258,"Ehsan Residence, Sepang",4,2,2,1500,18000,1090.0,PARTIAL,HIGHRISE,Sepang,Selangor,False,2.808137,101.7531641,https://speedhome.com/reels/ehsan-residence-sepang-wzbbbxpk
213539,"Putra Permai Apartment, Bandar Putra Permai",3,2,1,1200,14400,950.0,PARTIAL,HIGHRISE,Seri Kembangan,Selangor,False,2.995305913,101.668446064,https://speedhome.com/reels/putra-permai-apartment-bandar-putra-permai-lyrwupxm
213472,"Plaza Indah, Sepakat Indah",3,2,1,950,11400,914.0,PARTIAL,HIGHRISE,Kajang,Selangor,False,2.9831934672,101.7835047841,https://speedhome.com/reels/plaza-indah-sepakat-indah-irkabxku
211981,"Mutiara Ville, Cyberjaya",3,2,2,1700,20400,975.0,FULL,HIGHRISE,Cyberjaya,Selangor,False,2.9228381879,101.6357955337,https://speedhome.com/reels/mutiara-ville-cyberjaya-quksiunf
211731,"Kenwingston Square Garden, Cyberjaya",1,1,1,1300,15600,450.0,FULL,HIGHRISE,Cyberjaya,Selangor,False,2.910321600000001,101.6397099,https://speedhome.com/reels/kenwingston-square-garden-cyberjaya-jpbhkehx
206018,"Zenopy Residence, Seri Kembangan",3,2,2,2700,32400,1012.0,PARTIAL,HIGHRISE,Seri Kembangan,Selangor,False,3.0101342355,101.6681885719,https://speedhome.com/reels/zenopy-residence-seri-kembangan-wrolinvx
198328,Kingwingston. Square garden,1,1,1,1450,17400,850.0,NONE,HIGHRISE,Cyberjaya,Selangor,True,2.9106699453072835,101.6396818413247,https://speedhome.com/reels/kingwingston-square-garden-bxwffrls
193354,"Ameera Residence, Kajang",3,2,2,1550,18600,1250.0,PARTIAL,HIGHRISE,Kajang,Selangor,False,3.0122341839,101.8141651154,https://speedhome.com/reels/ameera-residence-xzyasipe
191278,"Kristal Villa, Kajang",3,2,2,1300,15600,1051.0,PARTIAL,HIGHRISE,Kajang,Selangor,True,2.9606342845,101.7985224724,https://speedhome.com/reels/kristal-villa-kajang-rylrizbf
190146,"Kristal Villa, Kajang",3,2,1,1100,13200,990.0,PARTIAL,HIGHRISE,Kajang,Selangor,True,2.9598043,101.7989906,https://speedhome.com/reels/kristal-villa-kajang-yxtqkfei
190079,"Ceria Condominium, Cyberjaya",3,2,2,1600,19200,1000.0,PARTIAL,HIGHRISE,Cyberjaya,Selangor,False,2.9238966,101.6323136,https://speedhome.com/reels/ceria-kondominium-hlhtwjsa
189803,"Third Avenue, Cyberjaya",2,2,2,2000,24000,780.0,FULL,HIGHRISE,Cyberjaya,Selangor,True,2.9287474281,101.6541337967,https://speedhome.com/reels/third-avenue-cyberjaya-vtsatuza
188145,"East Lake Residence, Seri Kembangan",1,1,0,650,7800,,PARTIAL,ROOM,Seri Kembangan,Selangor,False,3.033233,101.70707,https://speedhome.com/reels/east-lake-residence-seri-kembangan-cewrvojo
187839,Pearl avenue condominium kajang with sky garden,3,2,2,1800,21600,1590.0,PARTIAL,HIGHRISE,Kajang,Selangor,True,2.9862627812276954,101.78078910482316,https://speedhome.com/reels/pearl-avenue-condominium-kajang-with-sky-garden-xuefavhn
187454,"Garden Plaza @ Garden Residence, Cyberjaya",3,2,1,1300,15600,450.0,FULL,HIGHRISE,Putrajaya,Wilayah Persekutuan,False,2.9493425,101.6651885,https://speedhome.com/reels/garden-plaza-garden-residence-cyberjaya-wguollqg
187312,"Camellia Residences, Bandar Sungai Long",3,2,2,1600,19200,1052.0,FULL,HIGHRISE,Kajang,Selangor,False,3.041354479,101.8061184883,https://speedhome.com/reels/camellia-residences-bandar-sungai-long-iqbanfrh
186477,Soho Trio Permai,0,1,1,1050,12600,450.0,PARTIAL,HIGHRISE,Seri Kembangan,Selangor,True,3.0002993423256226,101.6790016422284,https://speedhome.com/reels/soho-trio-permai-ezcjjqqy
182631,"Taman Kajang Prima, Kajang",3,2,1,1380,16560,1200.0,PARTIAL,LANDED,Kajang,Selangor,True,2.9799722,101.8135429,https://speedhome.com/reels/taman-kajang-prima-kajang-qxfcbyeo
176996,"Savanna Executive Suites, Southville City",3,2,2,2300,27600,1017.0,FULL,HIGHRISE,Kajang,Selangor,False,2.9027529678,101.7638254166,https://speedhome.com/reels/savanna-executive-suites-southville-city-nqzsruhn
175268,"The Place, Cyberjaya",0,1,0,1300,15600,560.0,FULL,HIGHRISE,Puchong,Selangor,False,2.9385193036,101.660887599,https://speedhome.com/reels/the-place-cyberjaya-mglqbnkh
173772,"Eclipse Residence @ Pan'gaea, Cyberjaya",2,2,2,1600,19200,650.0,FULL,HIGHRISE,Cyberjaya,Selangor,True,2.9244829206,101.6352510452,https://speedhome.com/reels/eclipse-residence-pangaea-cyberjaya-ldiuxygo
171157,"Cyberia SmartHomes, Cyberjaya",1,1,0,650,7800,,FULL,ROOM,Cyberjaya,Selangor,True,2.9261454,101.6399002,https://speedhome.com/reels/cyberia-smarthomes-cyberjaya-tjqoqbmz
164705,"The Arc, Cyberjaya",3,2,1,1600,19200,1021.0,FULL,HIGHRISE,Cyberjaya,Selangor,True,2.926707,101.636746,https://speedhome.com/reels/the-arc-cyberjaya-tvvubmht
161577,Pangsapuri Mawar,3,2,1,1800,21600,1080.0,FULL,HIGHRISE,Kuala Lumpur,Wilayah Persekutuan,False,2.9845358,101.6611954,https://speedhome.com/reels/pangsapuri-mawar-mipnfrcx
157331,Garden One South,3,2,3,1800,21600,1065.0,FULL,HIGHRISE,Seri Kembangan,Selangor,False,3.037039450034084,101.70769642601385,https://speedhome.com/reels/garden-one-south-pzzctxtt
153447,"Kampung Dato Abu Bakar Baginda, Kajang",3,2,1,1000,12000,600.0,NONE,LANDED,Kajang,Selangor,True,2.9572693156,101.7399010093,https://speedhome.com/reels/kampung-dato-abu-bakar-baginda-kajang-kxkierzz
153155,"Cerrado, Southville City",2,1,2,1800,21600,656.0,PARTIAL,HIGHRISE,Cyberjaya,Selangor,False,2.902096,101.766116,https://speedhome.com/reels/cerrado-southville-city-jrjqxxqt
150441,Cyberjaya @ Cyberia Smarthomes (Town Villa),1,1,0,750,9000,,FULL,ROOM,Cyberjaya,Selangor,True,2.9259201658679195,101.63979253653942,https://speedhome.com/reels/cyberjaya-cyberia-smarthomes-town-villa-orzejfkx
149713,"Saville @ Kajang, Kajang",3,2,1,1450,17400,855.0,NONE,HIGHRISE,Kajang,Selangor,False,2.972304757930933,101.78949319703285,https://speedhome.com/reels/saville-kajang-kajang-pwbmkrkt
149194,"The Arc, Cyberjaya",3,2,1,1600,19200,913.0,FULL,HIGHRISE,Cyberjaya,Selangor,False,2.9251901013481687,101.63662433626881,https://speedhome.com/reels/the-arc-cyberjaya-iaarqptg
148735,"Saville @ Kajang, Kajang",3,2,3,1300,15600,855.0,NONE,HIGHRISE,Kajang,Selangor,False,2.972304757930933,101.78949319703285,https://speedhome.com/reels/saville-kajang-kajang-oahkhdhw
