id,name,bedroom,bathroom,carpark,monthly_price,yearly_price,sqft,furnish_type,property_type,city,state,pet_friendly,latitude,longitude,listing_url
267332,"Palm Spring, Kota Damansara",3,2,1,2000,24000,936.0,FULL,HIGHRISE,Petaling Jaya,Selangor,False,3.15096,101.599,https://speedhome.com/reels/palm-spring-kota-damansara-edngvvky
267280,"The Zizz Damansara Damai, Petaling Jaya",1,1,2,650,7800,,FULL,ROOM,Petaling Jaya,Selangor,False,3.1987059855,101.5964984894,https://speedhome.com/reels/the-zizz-damansara-damai-petaling-jaya-zvmwtsnu
266957,"Ridzuan Condominium, Bandar Sunway",3,2,1,2400,28800,1433.0,FULL,HIGHRISE,Petaling Jaya,Selangor,True,3.079013,101.606412,https://speedhome.com/reels/ridzuan-condominium-bandar-sunway-tqtoxulw
266857,"I Residence, Kota Damansara",1,1,0,700,8400,,FULL,ROOM,Petaling Jaya,Selangor,False,3.150575,101.582615,https://speedhome.com/reels/i-residence-kota-damansara-wxvbjlfa
265860,"Empire City, Damansara Perdana",0,1,0,1250,15000,580.0,PARTIAL,HIGHRISE,Petaling Jaya,Selangor,False,3.1683152498,101.6154402494,https://speedhome.com/reels/empire-city-damansara-perdana-ykxfojnb
265007,"Palm Spring Condominium, Kota Damansara",1,1,0,850,10200,,FULL,ROOM,Petaling Jaya,Selangor,False,3.15291844372793,101.59950127049687,https://speedhome.com/reels/palm-spring-condominium-kota-damansara-wzimaofo
262974,Kota Damansara,1,1,1,800,9600,300.0,FULL,ROOM,Petaling Jaya,Selangor,False,3.1674657,101.58734,https://speedhome.com/reels/kota-damansara-zqoebfxk
261483,"PJ Midtown, Petaling Jaya",3,2,3,4200,50400,1227.0,FULL,HIGHRISE,Petaling Jaya,Selangor,False,3.1135237107901403,101.64089012145106,https://speedhome.com/reels/pj-midtown-petaling-jaya-bxjgblly
255653,"Residensi Suasana @ Damai, Damansara Damai",1,1,0,790,9480,,FULL,ROOM,Petaling Jaya,Selangor,False,3.19444247619888,101.5916147018748,https://speedhome.com/reels/residensi-suasana-damai-damansara-damai-iabmcval
255579,"Residensi Suasana @ Damai, Damansara Damai",1,1,0,790,9480,,FULL,ROOM,Petaling Jaya,Selangor,False,3.19444247619888,101.5916147018748,https://speedhome.com/reels/residensi-suasana-damai-damansara-damai-xghdqgnf
254901,"Empire City, Petaling Jaya",1,1,0,1300,15600,448.0,PARTIAL,HIGHRISE,Kuala Lumpur,Wilayah Persekutuan,True,3.1683152498,101.6154402494,https://speedhome.com/reels/empire-city-petaling-jaya-vjkhjnvi
252417,"Eastwood Terrace, Petaling Jaya",4,2,1,2300,27600,2000.0,PARTIAL,LANDED,Petaling Jaya,Selangor,True,3.129634202497201,101.60785564977336,https://speedhome.com/reels/eastwood-terrace-petaling-jaya-tudkiwyf
